Branch,City,CM Orders,Current Month MTD,Customer type,Date,Gender,Invoice ID,Last 7 Days,Last N Days,Payment,PM Orders,Previous Month MTD,Product line,Rating Categories,Selected Date Filter,Tag Filter,Time,CM COGS,CM Gross Income,CM Quantity,CM Rating,CM Total,Cogs,Gross Income,Gross Margin Percentage,PM COGS,PM Gross Income,PM Quantity,PM Total,Quantity,Rating,Sort,Tax 5%,Total,Unit price,Year
B,Mandalay,,False,Member,1/15/2019,Female,299-46-1805,False,False,Cash,,False,Sports and travel,Dissatisfied,False,True,12/30/1899 4:19:00 PM,,,,,,562.32,$28.1,4.761904762,,,,,6,4.5,590.436,28.116,$590.4,93.72,2019
A,Yangon,656-95-9349,True,Member,3/11/2019,Female,656-95-9349,False,False,Credit card,,False,Health and beauty,Dissatisfied,False,True,12/30/1899 11:03:00 AM,$483,$24,7.0,$46,$507,482.51,$24.1,4.761904762,,,,,7,4.6,506.6355,24.1255,$506.6,68.93,2019
A,Yangon,,False,Normal,1/1/2019,Male,765-26-6951,False,False,Credit card,,False,Sports and travel,Neutral,False,True,12/30/1899 10:39:00 AM,,,,,,435.66,$21.8,4.761904762,,,,,6,6.9,457.443,21.783,$457.4,72.61,2019
A,Yangon,,False,Normal,1/21/2019,Male,329-62-1586,False,False,Credit card,,False,Food and beverages,Satisfied,False,True,12/30/1899 6:00:00 PM,,,,,,164.01,$8.2,4.761904762,,,,,3,8.6,172.2105,8.2005,$172.2,54.67,2019
B,Mandalay,319-50-3348,True,Normal,3/11/2019,Female,319-50-3348,False,False,Ewallet,,False,Home and lifestyle,Dissatisfied,False,True,12/30/1899 3:30:00 PM,$81,$4,2.0,$44,$85,80.6,$4.0,4.761904762,,,,,2,4.4,84.63,4.03,$84.6,40.3,2019
C,Naypyitaw,,False,Member,2/25/2019,Male,300-71-4605,False,False,Ewallet,300-71-4605,True,Electronic accessories,Dissatisfied,False,True,12/30/1899 11:24:00 AM,,,,,,430.2,$21.5,4.761904762,430.2,21.51,5,451.71,5,4.8,451.71,21.51,$451.7,86.04,2019
B,Mandalay,371-85-5789,True,Normal,3/5/2019,Male,371-85-5789,False,False,Ewallet,,False,Health and beauty,Neutral,False,True,12/30/1899 10:40:00 AM,$264,$13,3.0,$51,$277,263.94,$13.2,4.761904762,,,,,3,5.1,277.137,13.197,$277.1,87.98,2019
B,Mandalay,273-16-6619,True,Normal,3/15/2019,Male,273-16-6619,False,False,Credit card,,False,Home and lifestyle,Dissatisfied,False,True,12/30/1899 12:20:00 PM,$66,$3,2.0,$44,$70,66.4,$3.3,4.761904762,,,,,2,4.4,69.72,3.32,$69.7,33.2,2019
A,Yangon,,False,Normal,2/17/2019,Male,636-48-8204,False,False,Ewallet,636-48-8204,True,Electronic accessories,Happy,False,True,12/30/1899 11:15:00 AM,,,,,,172.8,$8.6,4.761904762,172.8,8.64,5,181.44,5,9.9,181.44,8.64,$181.4,34.56,2019
A,Yangon,549-59-1358,True,Member,3/2/2019,Male,549-59-1358,False,False,Ewallet,,False,Sports and travel,Neutral,False,True,12/30/1899 5:36:00 PM,$266,$13,3.0,$60,$279,265.89,$13.3,4.761904762,,,,,3,6,279.1845,13.2945,$279.2,88.63,2019
A,Yangon,227-03-5010,True,Member,3/22/2019,Female,227-03-5010,False,True,Credit card,,False,Home and lifestyle,Satisfied,False,True,12/30/1899 7:20:00 PM,$421,$21,8.0,$85,$442,420.72,$21.0,4.761904762,,,,,8,8.5,441.756,21.036,$441.8,52.59,2019
B,Mandalay,,False,Normal,2/8/2019,Male,649-29-6775,False,False,Cash,649-29-6775,True,Fashion accessories,Neutral,False,True,12/30/1899 3:31:00 PM,,,,,,33.52,$1.7,4.761904762,33.52,1.676,1,35.196,1,6.7,35.196,1.676,$35.2,33.52,2019
A,Yangon,189-17-4241,True,Normal,3/10/2019,Female,189-17-4241,False,False,Credit card,,False,Fashion accessories,Satisfied,False,True,12/30/1899 12:17:00 PM,$175,$9,2.0,$77,$184,175.34,$8.8,4.761904762,,,,,2,7.7,184.107,8.767,$184.1,87.67,2019
B,Mandalay,,False,Normal,1/25/2019,Female,145-94-9061,False,False,Cash,,False,Food and beverages,Happy,False,True,12/30/1899 7:48:00 PM,,,,,,441.8,$22.1,4.761904762,,,,,5,9.6,463.89,22.09,$463.9,88.36,2019
A,Yangon,848-62-7243,True,Normal,3/15/2019,Male,848-62-7243,False,False,Cash,,False,Health and beauty,Satisfied,False,True,12/30/1899 3:36:00 PM,$224,$11,9.0,$74,$235,224.01,$11.2,4.761904762,,,,,9,7.4,235.2105,11.2005,$235.2,24.89,2019
B,Mandalay,,False,Normal,2/25/2019,Male,871-79-8483,False,False,Credit card,871-79-8483,True,Fashion accessories,Dissatisfied,False,True,12/30/1899 7:39:00 PM,,,,,,470.65,$23.5,4.761904762,470.65,23.5325,5,494.1825,5,4.8,494.1825,23.5325,$494.2,94.13,2019
B,Mandalay,,False,Member,1/28/2019,Male,149-71-6266,False,False,Cash,,False,Sports and travel,Dissatisfied,False,True,12/30/1899 12:43:00 PM,,,,,,702.63,$35.1,4.761904762,,,,,9,4.5,737.7615,35.1315,$737.8,78.07,2019
B,Mandalay,,False,Normal,1/10/2019,Male,640-49-2076,False,False,Cash,,False,Sports and travel,Neutral,False,True,12/30/1899 2:49:00 PM,,,,,,670.24,$33.5,4.761904762,,,,,8,5.1,703.752,33.512,$703.8,83.78,2019
A,Yangon,595-11-5460,True,Normal,3/15/2019,Male,595-11-5460,False,False,Credit card,,False,Health and beauty,Neutral,False,True,12/30/1899 10:12:00 AM,$193,$10,2.0,$51,$203,193.16,$9.7,4.761904762,,,,,2,5.1,202.818,9.658,$202.8,96.58,2019
C,Naypyitaw,,False,Member,2/6/2019,Female,183-56-6882,False,False,Ewallet,183-56-6882,True,Food and beverages,Satisfied,False,True,12/30/1899 10:42:00 AM,,,,,,397.68,$19.9,4.761904762,397.68,19.884,4,417.564,4,7.5,417.564,19.884,$417.6,99.42,2019
C,Naypyitaw,,False,Member,1/7/2019,Female,232-16-2483,False,False,Ewallet,,False,Sports and travel,Neutral,False,True,12/30/1899 12:28:00 PM,,,,,,68.12,$3.4,4.761904762,,,,,1,6.8,71.526,3.406,$71.5,68.12,2019
A,Yangon,129-29-8530,True,Member,3/10/2019,Male,129-29-8530,False,False,Ewallet,,False,Sports and travel,Satisfied,False,True,12/30/1899 7:15:00 PM,$313,$16,5.0,$70,$329,313.1,$15.7,4.761904762,,,,,5,7,328.755,15.655,$328.8,62.62,2019
A,Yangon,,False,Normal,1/15/2019,Female,272-65-1806,False,False,Ewallet,,False,Electronic accessories,Dissatisfied,False,True,12/30/1899 5:17:00 PM,,,,,,547.92,$27.4,4.761904762,,,,,9,4.7,575.316,27.396,$575.3,60.88,2019
C,Naypyitaw,333-73-7901,True,Normal,3/23/2019,Female,333-73-7901,False,True,Ewallet,,False,Health and beauty,Satisfied,False,True,12/30/1899 1:24:00 PM,$439,$22,8.0,$76,$461,439.36,$22.0,4.761904762,,,,,8,7.6,461.328,21.968,$461.3,54.92,2019
B,Mandalay,777-82-7220,True,Member,3/3/2019,Male,777-82-7220,False,False,Cash,,False,Home and lifestyle,Satisfied,False,True,12/30/1899 1:01:00 PM,$241,$12,8.0,$77,$253,240.96,$12.0,4.761904762,,,,,8,7.7,253.008,12.048,$253.0,30.12,2019
B,Mandalay,,False,Member,1/17/2019,Female,280-35-5823,False,False,Ewallet,,False,Home and lifestyle,Satisfied,False,True,12/30/1899 6:45:00 PM,,,,,,86.72,$4.3,4.761904762,,,,,1,7.9,91.056,4.336,$91.1,86.72,2019
C,Naypyitaw,,False,Member,2/2/2019,Male,554-53-8700,False,False,Cash,554-53-8700,True,Home and lifestyle,Neutral,False,True,12/30/1899 10:11:00 AM,,,,,,112.22,$5.6,4.761904762,112.22,5.611,2,117.831,2,6.3,117.831,5.611,$117.8,56.11,2019
B,Mandalay,,False,Member,2/8/2019,Female,354-25-5821,False,False,Cash,354-25-5821,True,Sports and travel,Neutral,False,True,12/30/1899 1:03:00 PM,,,,,,414.72,$20.7,4.761904762,414.72,20.736,6,435.456,6,5.6,435.456,20.736,$435.5,69.12,2019
C,Naypyitaw,228-96-1411,True,Member,3/4/2019,Female,228-96-1411,False,False,Cash,,False,Food and beverages,Satisfied,False,True,12/30/1899 8:39:00 PM,$790,$39,8.0,$76,$829,789.6,$39.5,4.761904762,,,,,8,7.6,829.08,39.48,$829.1,98.7,2019
C,Naypyitaw,617-15-4209,True,Member,3/16/2019,Male,617-15-4209,False,False,Cash,,False,Health and beauty,Satisfied,False,True,12/30/1899 7:47:00 PM,$31,$2,2.0,$72,$32,30.74,$1.5,4.761904762,,,,,2,7.2,32.277,1.537,$32.3,15.37,2019
B,Mandalay,132-32-9879,True,Member,3/9/2019,Female,132-32-9879,False,False,Cash,,False,Electronic accessories,Happy,False,True,12/30/1899 6:00:00 PM,$376,$19,4.0,$95,$395,375.84,$18.8,4.761904762,,,,,4,9.5,394.632,18.792,$394.6,93.96,2019
B,Mandalay,,False,Member,2/27/2019,Male,370-41-7321,False,False,Credit card,370-41-7321,True,Health and beauty,Satisfied,False,True,12/30/1899 5:24:00 PM,,,,,,510.21,$25.5,4.761904762,510.21,25.5105,9,535.7205,9,8.4,535.7205,25.5105,$535.7,56.69,2019
B,Mandalay,,False,Member,2/6/2019,Female,727-46-3608,False,False,Ewallet,727-46-3608,True,Food and beverages,Dissatisfied,False,True,12/30/1899 3:47:00 PM,,,,,,180.09,$9.0,4.761904762,180.09,9.0045,9,189.0945,9,4.1,189.0945,9.0045,$189.1,20.01,2019
B,Mandalay,,False,Member,2/10/2019,Male,669-54-1719,False,False,Credit card,669-54-1719,True,Electronic accessories,Satisfied,False,True,12/30/1899 12:45:00 PM,,,,,,113.58,$5.7,4.761904762,113.58,5.679,6,119.259,6,8.1,119.259,5.679,$119.3,18.93,2019
C,Naypyitaw,574-22-5561,True,Member,3/19/2019,Female,574-22-5561,False,True,Ewallet,,False,Fashion accessories,Satisfied,False,True,12/30/1899 5:08:00 PM,$826,$41,10.0,$79,$868,826.3,$41.3,4.761904762,,,,,10,7.9,867.615,41.315,$867.6,82.63,2019
C,Naypyitaw,,False,Member,2/3/2019,Male,326-78-5178,False,False,Cash,326-78-5178,True,Food and beverages,Happy,False,True,12/30/1899 10:19:00 AM,,,,,,639.8,$32.0,4.761904762,639.8,31.99,7,671.79,7,9.5,671.79,31.99,$671.8,91.4,2019
A,Yangon,,False,Member,2/10/2019,Female,162-48-8011,False,False,Cash,162-48-8011,True,Food and beverages,Satisfied,False,True,12/30/1899 3:10:00 PM,,,,,,222.95,$11.1,4.761904762,222.95,11.1475,5,234.0975,5,8.5,234.0975,11.1475,$234.1,44.59,2019
B,Mandalay,616-24-2851,True,Member,3/22/2019,Female,616-24-2851,False,True,Ewallet,,False,Fashion accessories,Neutral,False,True,12/30/1899 2:42:00 PM,$71,$4,4.0,$65,$75,71.48,$3.6,4.761904762,,,,,4,6.5,75.054,3.574,$75.1,17.87,2019
C,Naypyitaw,,False,Member,1/25/2019,Male,778-71-5554,False,False,Credit card,,False,Fashion accessories,Neutral,False,True,12/30/1899 3:46:00 PM,,,,,,15.43,$0.8,4.761904762,,,,,1,6.1,16.2015,0.7715,$16.2,15.43,2019
B,Mandalay,242-55-6721,True,Normal,3/7/2019,Male,242-55-6721,False,False,Ewallet,,False,Home and lifestyle,Neutral,False,True,12/30/1899 11:49:00 AM,$32,$2,2.0,$65,$34,32.32,$1.6,4.761904762,,,,,2,6.5,33.936,1.616,$33.9,16.16,2019
C,Naypyitaw,,False,Normal,2/28/2019,Female,399-46-5918,False,False,Cash,399-46-5918,True,Electronic accessories,Satisfied,False,True,12/30/1899 7:01:00 PM,,,,,,687.84,$34.4,4.761904762,687.84,34.392,8,722.232,8,8.2,722.232,34.392,$722.2,85.98,2019
A,Yangon,106-35-6779,True,Member,3/27/2019,Male,106-35-6779,True,True,Cash,,False,Home and lifestyle,Neutral,False,True,12/30/1899 11:26:00 AM,$89,$4,2.0,$58,$93,88.68,$4.4,4.761904762,,,,,2,5.8,93.114,4.434,$93.1,44.34,2019
A,Yangon,,False,Normal,2/7/2019,Male,635-40-6220,False,False,Ewallet,635-40-6220,True,Health and beauty,Neutral,False,True,12/30/1899 11:28:00 AM,,,,,,716.8,$35.8,4.761904762,716.8,35.84,8,752.64,8,6.6,752.64,35.84,$752.6,89.6,2019
A,Yangon,,False,Member,1/20/2019,Female,817-48-8732,False,False,Cash,,False,Home and lifestyle,Neutral,False,True,12/30/1899 3:55:00 PM,,,,,,723.5,$36.2,4.761904762,,,,,10,5.4,759.675,36.175,$759.7,72.35,2019
C,Naypyitaw,120-06-4233,True,Normal,3/12/2019,Male,120-06-4233,False,False,Cash,,False,Electronic accessories,Happy,False,True,12/30/1899 8:36:00 PM,$184,$9,6.0,$93,$193,183.66,$9.2,4.761904762,,,,,6,9.3,192.843,9.183,$192.8,30.61,2019
C,Naypyitaw,,False,Member,2/15/2019,Female,285-68-5083,False,False,Credit card,285-68-5083,True,Sports and travel,Happy,False,True,12/30/1899 5:47:00 PM,,,,,,74.22,$3.7,4.761904762,74.22,3.711,3,77.931,3,10,77.931,3.711,$77.9,24.74,2019
C,Naypyitaw,,False,Normal,2/24/2019,Male,803-83-5989,False,False,Ewallet,803-83-5989,True,Home and lifestyle,Satisfied,False,True,12/30/1899 10:55:00 AM,,,,,,334.38,$16.7,4.761904762,334.38,16.719,6,351.099,6,7,351.099,16.719,$351.1,55.73,2019
B,Mandalay,,False,Member,2/3/2019,Female,347-34-2234,False,False,Ewallet,347-34-2234,True,Sports and travel,Happy,False,True,12/30/1899 1:40:00 PM,,,,,,495.63,$24.8,4.761904762,495.63,24.7815,9,520.4115,9,10,520.4115,24.7815,$520.4,55.07,2019
A,Yangon,199-75-8169,True,Member,3/6/2019,Male,199-75-8169,False,False,Credit card,,False,Sports and travel,Satisfied,False,True,12/30/1899 12:27:00 PM,$158,$8,10.0,$86,$166,158.1,$7.9,4.761904762,,,,,10,8.6,166.005,7.905,$166.0,15.81,2019
B,Mandalay,,False,Member,2/14/2019,Male,853-23-2453,False,False,Cash,853-23-2453,True,Health and beauty,Satisfied,False,True,12/30/1899 2:35:00 PM,,,,,,302.96,$15.1,4.761904762,302.96,15.148,4,318.108,4,7.6,318.108,15.148,$318.1,75.74,2019
A,Yangon,877-22-3308,True,Member,3/13/2019,Male,877-22-3308,False,False,Cash,,False,Health and beauty,Neutral,False,True,12/30/1899 4:40:00 PM,$159,$8,10.0,$58,$167,158.7,$7.9,4.761904762,,,,,10,5.8,166.635,7.935,$166.6,15.87,2019
C,Naypyitaw,,False,Normal,2/10/2019,Female,838-78-4295,False,False,Ewallet,838-78-4295,True,Health and beauty,Neutral,False,True,12/30/1899 3:43:00 PM,,,,,,66.94,$3.3,4.761904762,66.94,3.347,2,70.287,2,6.7,70.287,3.347,$70.3,33.47,2019
B,Mandalay,,False,Member,1/7/2019,Female,109-28-2512,False,False,Ewallet,,False,Fashion accessories,Happy,False,True,12/30/1899 3:01:00 PM,,,,,,585.66,$29.3,4.761904762,,,,,6,9.9,614.943,29.283,$614.9,97.61,2019
A,Yangon,,False,Normal,1/24/2019,Male,232-11-3025,False,False,Cash,,False,Sports and travel,Neutral,False,True,12/30/1899 10:04:00 AM,,,,,,787.7,$39.4,4.761904762,,,,,10,6.4,827.085,39.385,$827.1,78.77,2019
A,Yangon,,False,Member,2/2/2019,Female,382-03-4532,False,False,Cash,382-03-4532,True,Health and beauty,Dissatisfied,False,True,12/30/1899 6:50:00 PM,,,,,,18.33,$0.9,4.761904762,18.33,0.9165,1,19.2465,1,4.3,19.2465,0.9165,$19.2,18.33,2019
C,Naypyitaw,,False,Normal,1/6/2019,Male,393-65-2792,False,False,Credit card,,False,Food and beverages,Happy,False,True,12/30/1899 12:46:00 PM,,,,,,894.8,$44.7,4.761904762,,,,,10,9.6,939.54,44.74,$939.5,89.48,2019
C,Naypyitaw,,False,Normal,2/11/2019,Male,796-12-2025,False,False,Cash,796-12-2025,True,Fashion accessories,Neutral,False,True,12/30/1899 4:19:00 PM,,,,,,621.2,$31.1,4.761904762,621.2,31.06,10,652.26,10,5.9,652.26,31.06,$652.3,62.12,2019
B,Mandalay,510-95-6347,True,Member,3/5/2019,Female,510-95-6347,False,False,Ewallet,,False,Food and beverages,Dissatisfied,False,True,12/30/1899 6:17:00 PM,$146,$7,3.0,$40,$153,145.56,$7.3,4.761904762,,,,,3,4,152.838,7.278,$152.8,48.52,2019
C,Naypyitaw,841-35-6630,True,Normal,3/9/2019,Female,841-35-6630,False,False,Cash,,False,Electronic accessories,Satisfied,False,True,12/30/1899 6:21:00 PM,$455,$23,6.0,$87,$478,455.46,$22.8,4.761904762,,,,,6,8.7,478.233,22.773,$478.2,75.91,2019
A,Yangon,,False,Normal,1/22/2019,Male,287-21-9091,False,False,Ewallet,,False,Home and lifestyle,Happy,False,True,12/30/1899 10:55:00 AM,,,,,,672.03,$33.6,4.761904762,,,,,9,9.4,705.6315,33.6015,$705.6,74.67,2019
C,Naypyitaw,,False,Normal,1/13/2019,Female,732-94-0499,False,False,Credit card,,False,Electronic accessories,Neutral,False,True,12/30/1899 5:04:00 PM,,,,,,416.5,$20.8,4.761904762,,,,,10,5.4,437.325,20.825,$437.3,41.65,2019
C,Naypyitaw,,False,Member,1/9/2019,Male,263-10-3913,False,False,Credit card,,False,Fashion accessories,Satisfied,False,True,12/30/1899 2:20:00 PM,,,,,,441.36,$22.1,4.761904762,,,,,9,8.6,463.428,22.068,$463.4,49.04,2019
A,Yangon,,False,Member,1/12/2019,Female,381-20-0914,False,False,Credit card,,False,Fashion accessories,Neutral,False,True,12/30/1899 3:48:00 PM,,,,,,180.09,$9.0,4.761904762,,,,,9,5.7,189.0945,9.0045,$189.1,20.01,2019
C,Naypyitaw,829-49-1914,True,Member,3/5/2019,Female,829-49-1914,False,False,Ewallet,,False,Food and beverages,Neutral,False,True,12/30/1899 4:24:00 PM,$783,$39,10.0,$66,$822,783.1,$39.2,4.761904762,,,,,10,6.6,822.255,39.155,$822.3,78.31,2019
C,Naypyitaw,,False,Normal,1/22/2019,Female,756-01-7507,False,False,Cash,,False,Health and beauty,Neutral,False,True,12/30/1899 6:56:00 PM,,,,,,101.9,$5.1,4.761904762,,,,,5,6,106.995,5.095,$107.0,20.38,2019
C,Naypyitaw,,False,Normal,1/21/2019,Female,870-72-4431,False,False,Credit card,,False,Health and beauty,Neutral,False,True,12/30/1899 2:42:00 PM,,,,,,595.14,$29.8,4.761904762,,,,,6,5.5,624.897,29.757,$624.9,99.19,2019
B,Mandalay,,False,Normal,1/26/2019,Female,847-38-7188,False,False,Ewallet,,False,Food and beverages,Neutral,False,True,12/30/1899 7:56:00 PM,,,,,,290.04,$14.5,4.761904762,,,,,3,6.4,304.542,14.502,$304.5,96.68,2019
C,Naypyitaw,,False,Normal,1/23/2019,Male,480-63-2856,False,False,Ewallet,,False,Food and beverages,Neutral,False,True,12/30/1899 6:37:00 PM,,,,,,154,$7.7,4.761904762,,,,,8,6.6,161.7,7.7,$161.7,19.25,2019
C,Naypyitaw,,False,Member,2/23/2019,Female,787-56-0757,False,False,Credit card,787-56-0757,True,Food and beverages,Satisfied,False,True,12/30/1899 6:45:00 PM,,,,,,321.44,$16.1,4.761904762,321.44,16.072,4,337.512,4,8.3,337.512,16.072,$337.5,80.36,2019
C,Naypyitaw,360-39-5055,True,Member,3/9/2019,Male,360-39-5055,False,False,Cash,,False,Sports and travel,Neutral,False,True,12/30/1899 10:17:00 AM,$245,$12,5.0,$66,$257,244.55,$12.2,4.761904762,,,,,5,6.6,256.7775,12.2275,$256.8,48.91,2019
C,Naypyitaw,730-50-9884,True,Normal,3/5/2019,Female,730-50-9884,False,False,Ewallet,,False,Sports and travel,Dissatisfied,False,True,12/30/1899 2:31:00 PM,$581,$29,7.0,$40,$610,581.42,$29.1,4.761904762,,,,,7,4,610.491,29.071,$610.5,83.06,2019
C,Naypyitaw,362-58-8315,True,Normal,3/25/2019,Male,362-58-8315,True,True,Cash,,False,Fashion accessories,Happy,False,True,12/30/1899 10:23:00 AM,$383,$19,5.0,$99,$402,382.6,$19.1,4.761904762,,,,,5,9.9,401.73,19.13,$401.7,76.52,2019
A,Yangon,633-44-8566,True,Member,3/27/2019,Male,633-44-8566,True,True,Credit card,,False,Food and beverages,Satisfied,False,True,12/30/1899 8:35:00 PM,$346,$17,7.0,$73,$363,345.66,$17.3,4.761904762,,,,,7,7.3,362.943,17.283,$362.9,49.38,2019
A,Yangon,,False,Normal,1/2/2019,Male,504-35-8843,False,False,Cash,,False,Sports and travel,Neutral,False,True,12/30/1899 4:57:00 PM,,,,,,42.47,$2.1,4.761904762,,,,,1,5.7,44.5935,2.1235,$44.6,42.47,2019
B,Mandalay,,False,Normal,2/27/2019,Female,318-68-5053,False,False,Cash,318-68-5053,True,Health and beauty,Neutral,False,True,12/30/1899 5:55:00 PM,,,,,,461.94,$23.1,4.761904762,461.94,23.097,6,485.037,6,6.1,485.037,23.097,$485.0,76.99,2019
C,Naypyitaw,,False,Member,1/23/2019,Female,565-80-5980,False,False,Cash,,False,Home and lifestyle,Satisfied,False,True,12/30/1899 10:25:00 AM,,,,,,189.52,$9.5,4.761904762,,,,,4,7.1,198.996,9.476,$199.0,47.38,2019
C,Naypyitaw,,False,Normal,1/26/2019,Female,225-32-0908,False,False,Ewallet,,False,Sports and travel,Satisfied,False,True,12/30/1899 7:54:00 PM,,,,,,448.6,$22.4,4.761904762,,,,,10,8.2,471.03,22.43,$471.0,44.86,2019
A,Yangon,,False,Member,1/10/2019,Female,873-51-0671,False,False,Ewallet,,False,Sports and travel,Neutral,False,True,12/30/1899 4:42:00 PM,,,,,,153.86,$7.7,4.761904762,,,,,7,5.1,161.553,7.693,$161.6,21.98,2019
B,Mandalay,152-08-9985,True,Member,3/12/2019,Male,152-08-9985,False,False,Credit card,,False,Health and beauty,Satisfied,False,True,12/30/1899 12:09:00 PM,$579,$29,9.0,$86,$608,579.24,$29.0,4.761904762,,,,,9,8.6,608.202,28.962,$608.2,64.36,2019
C,Naypyitaw,,False,Normal,2/6/2019,Male,512-91-0811,False,False,Credit card,512-91-0811,True,Health and beauty,Neutral,False,True,12/30/1899 8:05:00 PM,,,,,,89.75,$4.5,4.761904762,89.75,4.4875,1,94.2375,1,6.6,94.2375,4.4875,$94.2,89.75,2019
A,Yangon,594-34-4444,True,Normal,3/8/2019,Male,594-34-4444,False,False,Ewallet,,False,Electronic accessories,Satisfied,False,True,12/30/1899 8:38:00 PM,$97,$5,1.0,$72,$102,97.16,$4.9,4.761904762,,,,,1,7.2,102.018,4.858,$102.0,97.16,2019
B,Mandalay,766-85-7061,True,Normal,3/29/2019,Male,766-85-7061,True,True,Ewallet,,False,Health and beauty,Neutral,False,True,12/30/1899 10:25:00 AM,$879,$44,10.0,$51,$923,878.7,$43.9,4.761904762,,,,,10,5.1,922.635,43.935,$922.6,87.87,2019
